exp,run,semilla,operadores,tiempo_ms,coste
1,1,18049,swap,579.00,2912.18
1,1,18049,move,1484.00,2694.41
1,1,18049,swap+move,1895.00,2661.81
1,2,17517,swap,568.00,2675.88
1,2,17517,move,1279.00,2606.96
1,2,17517,swap+move,2094.00,2441.36
1,3,10109,swap,431.00,2674.63
1,3,10109,move,1075.00,2613.48
1,3,10109,swap+move,1856.00,2567.41
1,4,11352,swap,543.00,2510.60
1,4,11352,move,1122.00,2429.77
1,4,11352,swap+move,2157.00,2353.93
1,5,10682,swap,540.00,2953.30
1,5,10682,move,1491.00,2785.07
1,5,10682,swap+move,1890.00,2740.23
1,6,21619,swap,531.00,2842.80
1,6,21619,move,1391.00,2692.62
1,6,21619,swap+move,2078.00,2650.79
1,7,14028,swap,489.00,2489.05
1,7,14028,move,1229.00,2439.65
1,7,14028,swap+move,1753.00,2377.24
1,8,16018,swap,650.00,2917.49
1,8,16018,move,1405.00,2820.16
1,8,16018,swap+move,1980.00,2783.89
1,9,27666,swap,491.00,2531.56
1,9,27666,move,1061.00,2385.08
1,9,27666,swap+move,1638.00,2342.72
1,10,13994,swap,559.00,2477.73
1,10,13994,move,1144.00,2314.45
1,10,13994,swap+move,1994.00,2246.51
