exp,run,semilla,inicial,tiempo_ms,coste
2,1,3030,greedy,1886.00,2449.32
2,1,3030,aleatorio,3581.00,2512.12
2,2,18567,greedy,1819.00,2605.95
2,2,18567,aleatorio,3204.00,2730.41
2,3,14143,greedy,1923.00,2804.56
2,3,14143,aleatorio,3555.00,2866.33
2,4,8005,greedy,1581.00,2533.20
2,4,8005,aleatorio,3061.00,2548.91
2,5,29202,greedy,1897.00,2530.44
2,5,29202,aleatorio,3348.00,2575.99
2,6,2365,greedy,1955.00,2430.08
2,6,2365,aleatorio,3024.00,2518.64
2,7,15100,greedy,2268.00,2960.21
2,7,15100,aleatorio,3506.00,3027.99
2,8,9526,greedy,1913.00,2834.12
2,8,9526,aleatorio,3916.00,2953.05
2,9,28716,greedy,1668.00,2457.96
2,9,28716,aleatorio,3298.00,2484.93
2,10,25273,greedy,2160.00,2686.86
2,10,25273,aleatorio,3854.00,2719.17
