exp,run,semilla,steps,stiter,k,lambda,tiempo_ms,coste
3,1,20808,1000,100,1,0.001,65.00,3245.23
3,1,20808,1000,100,1,0.01,61.00,3234.24
3,1,20808,1000,100,1,0.1,63.00,3174.31
3,1,20808,1000,100,1,0.5,59.00,3301.38
3,1,20808,1000,100,5,0.001,65.00,3251.91
3,1,20808,1000,100,5,0.01,65.00,3210.95
3,1,20808,1000,100,5,0.1,61.00,3224.05
3,1,20808,1000,100,5,0.5,69.00,3165.81
3,1,20808,1000,100,10,0.001,60.00,3367.28
3,1,20808,1000,100,10,0.01,63.00,3276.73
3,1,20808,1000,100,10,0.1,62.00,3211.98
3,1,20808,1000,100,10,0.5,77.00,3218.49
3,1,20808,1000,100,25,0.001,61.00,3531.43
3,1,20808,1000,100,25,0.01,65.00,3226.43
3,1,20808,1000,100,25,0.1,64.00,3330.43
3,1,20808,1000,100,25,0.5,64.00,3299.70
3,1,20808,5000,100,1,0.001,224.00,3075.44
3,1,20808,5000,100,1,0.01,217.00,3081.39
3,1,20808,5000,100,1,0.1,182.00,3062.49
3,1,20808,5000,100,1,0.5,94.00,3171.15
3,1,20808,5000,100,5,0.001,226.00,3073.73
3,1,20808,5000,100,5,0.01,189.00,3047.32
3,1,20808,5000,100,5,0.1,182.00,3098.30
3,1,20808,5000,100,5,0.5,108.00,3130.78
3,1,20808,5000,100,10,0.001,214.00,3105.57
3,1,20808,5000,100,10,0.01,207.00,3122.95
3,1,20808,5000,100,10,0.1,227.00,3081.98
3,1,20808,5000,100,10,0.5,94.00,3173.70
3,1,20808,5000,100,25,0.001,207.00,3131.83
3,1,20808,5000,100,25,0.01,238.00,3132.00
3,1,20808,5000,100,25,0.1,230.00,3103.62
3,1,20808,5000,100,25,0.5,86.00,3187.05
3,1,20808,10000,100,1,0.001,276.00,3060.74
3,1,20808,10000,100,1,0.01,318.00,3087.94
3,1,20808,10000,100,1,0.1,264.00,3084.04
3,1,20808,10000,100,1,0.5,94.00,3143.18
3,1,20808,10000,100,5,0.001,290.00,3036.51
3,1,20808,10000,100,5,0.01,307.00,3076.42
3,1,20808,10000,100,5,0.1,253.00,3097.60
3,1,20808,10000,100,5,0.5,78.00,3221.46
3,1,20808,10000,100,10,0.001,293.00,3057.08
3,1,20808,10000,100,10,0.01,290.00,3112.37
3,1,20808,10000,100,10,0.1,222.00,3074.76
3,1,20808,10000,100,10,0.5,86.00,3148.32
3,1,20808,10000,100,25,0.001,278.00,3045.11
3,1,20808,10000,100,25,0.01,299.00,3058.56
3,1,20808,10000,100,25,0.1,289.00,3090.61
3,1,20808,10000,100,25,0.5,101.00,3209.50
3,2,18414,1000,100,1,0.001,62.00,2485.52
3,2,18414,1000,100,1,0.01,58.00,2558.19
3,2,18414,1000,100,1,0.1,66.00,2536.95
3,2,18414,1000,100,1,0.5,59.00,2474.94
3,2,18414,1000,100,5,0.001,69.00,2522.29
3,2,18414,1000,100,5,0.01,66.00,2490.42
