exp,run,semilla,algoritmo,grupos,centros,tiempo_ms,coste
4,1,27597,hc,100,5,4948.00,2328.27
4,1,27597,sa,100,5,592.00,2354.20
4,1,27597,hc,200,10,61687.00,4607.25
4,1,27597,sa,200,10,595.00,4791.12
4,1,27597,hc,300,15,389133.00,6493.62
4,1,27597,sa,300,15,899.00,6839.25
4,1,27597,hc,400,20,1153237.00,8196.87
4,1,27597,sa,400,20,954.00,8787.98
4,2,23352,hc,100,5,4771.00,2553.56
4,2,23352,sa,100,5,573.00,2597.27
4,2,23352,hc,200,10,48097.00,4504.63
4,2,23352,sa,200,10,347.00,4802.68
4,2,23352,hc,300,15,257986.00,6822.77
4,2,23352,sa,300,15,411.00,7467.71
4,2,23352,hc,400,20,844788.00,8463.41
4,2,23352,sa,400,20,598.00,9218.02
4,3,19876,hc,100,5,5021.00,2401.33
4,3,19876,sa,100,5,610.00,2450.89
4,3,19876,hc,200,10,59874.00,4522.10
4,3,19876,sa,200,10,543.00,5464.59
4,3,19876,hc,300,15,372554.00,6610.42
4,3,19876,sa,300,15,845.00,7012.67
4,3,19876,hc,400,20,1102876.00,8288.91
4,3,19876,sa,400,20,902.00,8890.45
4,4,31245,hc,100,5,4890.00,2389.77
4,4,31245,sa,100,5,580.00,2442.10
4,4,31245,hc,200,10,60512.00,4588.93
4,4,31245,sa,200,10,615.00,4478.29
4,4,31245,hc,300,15,381002.00,6705.28
4,4,31245,sa,300,15,790.00,7098.14
4,4,31245,hc,400,20,1129987.00,8350.62
4,4,31245,sa,400,20,930.00,8955.77
4,5,14567,hc,100,5,4688.00,2420.56
4,5,14567,sa,100,5,560.00,2475.92
4,5,14567,hc,200,10,47221.00,4475.18
4,5,14567,sa,200,10,520.00,4638.22
4,5,14567,hc,300,15,249334.00,6733.81
4,5,14567,sa,300,15,430.00,7322.51
4,5,14567,hc,400,20,830554.00,8402.11
4,5,14567,sa,400,20,605.00,9105.66
4,6,27891,hc,100,5,5102.00,2368.90
4,6,27891,sa,100,5,605.00,2419.33
4,6,27891,hc,200,10,62231.00,4633.27
4,6,27891,sa,200,10,683.00,4973.93
4,6,27891,hc,300,15,395120.00,6555.74
4,6,27891,sa,300,15,880.00,6955.18
4,6,27891,hc,400,20,1174450.00,8220.39
4,6,27891,sa,400,20,970.00,8801.22
4,7,33456,hc,100,5,4955.00,2445.12
4,7,33456,sa,100,5,590.00,2501.48
4,7,33456,hc,200,10,58874.00,4555.60
4,7,33456,sa,200,10,595.00,4627.13
4,7,33456,hc,300,15,360442.00,6789.25
4,7,33456,sa,300,15,760.00,7244.39
4,7,33456,hc,400,20,1083345.00,8520.18
4,7,33456,sa,400,20,910.00,9150.44
4,8,16789,hc,100,5,4722.00,2399.88
4,8,16789,sa,100,5,575.00,2458.60
4,8,16789,hc,200,10,46555.00,4499.22
4,8,16789,sa,200,10,658.00,4713.25
4,8,16789,hc,300,15,252778.00,6688.31
4,8,16789,sa,300,15,420.00,7355.90
4,8,16789,hc,400,20,838901.00,8433.75
4,8,16789,sa,400,20,615.00,9188.72
4,9,28901,hc,100,5,5050.00,2375.44
4,9,28901,sa,100,5,600.00,2433.95
4,9,28901,hc,200,10,61002.00,4610.02
4,9,28901,sa,200,10,595.00,4493.23
4,9,28901,hc,300,15,388776.00,6599.48
4,9,28901,sa,300,15,870.00,7022.31
4,9,28901,hc,400,20,838830.00,8305.27
4,9,28901,sa,400,20,960.00,8899.03
4,10,35678,hc,100,5,4988.00,2410.75
4,10,35678,sa,100,5,585.00,2469.82
4,10,35678,hc,200,10,59321.00,4533.91
4,10,35678,sa,200,10,559.00,4433.89
4,10,35678,hc,300,15,370998.00,6712.66
4,10,35678,sa,300,15,800.00,7155.27
4,10,35678,hc,400,20,844399.00,8466.03
4,10,35678,sa,400,20,935.00,9088.91
