exp,run,semilla,algoritmo,grupos,centros,tiempo_ms,coste
4,1,31263,sa,100,5,543.00,2968.17
4,1,31263,sa,200,10,616.00,4860.43
4,1,31263,sa,300,15,637.00,7247.29
4,1,31263,sa,400,20,925.00,9512.10
4,1,31263,sa,500,25,1124.00,11727.60
4,1,31263,sa,600,30,1070.00,13933.02
4,1,31263,sa,700,35,1316.00,15816.64
4,1,31263,sa,800,40,1480.00,17691.72
4,1,31263,sa,900,45,1762.00,19978.26
4,1,31263,sa,1000,50,2076.00,22298.54
4,1,31263,sa,1100,55,2279.00,24421.16
4,1,31263,sa,1200,60,2656.00,26473.69
4,2,31728,sa,100,5,383.00,2375.32
4,2,31728,sa,200,10,605.00,4538.16
4,2,31728,sa,300,15,762.00,6953.48
4,2,31728,sa,400,20,848.00,8954.23
4,2,31728,sa,500,25,1010.00,11067.37
4,2,31728,sa,600,30,1068.00,13441.51
4,2,31728,sa,700,35,1252.00,15824.91
4,2,31728,sa,800,40,1483.00,18062.95
4,2,31728,sa,900,45,1815.00,20239.27
4,2,31728,sa,1000,50,2052.00,22298.72
4,2,31728,sa,1100,55,1976.00,24455.37
4,2,31728,sa,1200,60,2309.00,26793.13
4,3,23660,sa,100,5,550.00,2775.62
4,3,23660,sa,200,10,542.00,5468.19
4,3,23660,sa,300,15,702.00,7113.98
4,3,23660,sa,400,20,896.00,9111.79
4,3,23660,sa,500,25,1101.00,11343.35
4,3,23660,sa,600,30,1066.00,13588.79
4,3,23660,sa,700,35,1288.00,15912.92
4,3,23660,sa,800,40,1581.00,17905.12
4,3,23660,sa,900,45,1700.00,20063.18
4,3,23660,sa,1000,50,1759.00,22268.06
4,3,23660,sa,1100,55,2078.00,24646.79
4,3,23660,sa,1200,60,2507.00,26742.87
4,4,11420,sa,100,5,481.00,2591.79
4,4,11420,sa,200,10,610.00,4479.91
4,4,11420,sa,300,15,668.00,6644.33
4,4,11420,sa,400,20,821.00,8738.22
4,4,11420,sa,500,25,1064.00,10910.92
4,4,11420,sa,600,30,1099.00,13192.07
4,4,11420,sa,700,35,1312.00,15091.75
4,4,11420,sa,800,40,1532.00,17301.09
4,4,11420,sa,900,45,1553.00,19445.07
4,4,11420,sa,1000,50,1754.00,21625.86
4,4,11420,sa,1100,55,2201.00,24112.35
4,4,11420,sa,1200,60,2555.00,26369.08
4,5,10519,sa,100,5,452.00,2621.10
4,5,10519,sa,200,10,522.00,4644.21
4,5,10519,sa,300,15,819.00,6787.91
4,5,10519,sa,400,20,852.00,8921.73
4,5,10519,sa,500,25,946.00,10933.08
4,5,10519,sa,600,30,952.00,13156.01
4,5,10519,sa,700,35,1280.00,15167.08
4,5,10519,sa,800,40,1412.00,17345.57
4,5,10519,sa,900,45,1643.00,19678.82
4,5,10519,sa,1000,50,1958.00,21949.38
4,5,10519,sa,1100,55,2093.00,24037.35
4,5,10519,sa,1200,60,2263.00,26575.40
4,6,18551,sa,100,5,365.00,2471.34
4,6,18551,sa,200,10,679.00,4972.52
4,6,18551,sa,300,15,677.00,6838.27
4,6,18551,sa,400,20,902.00,9488.37
4,6,18551,sa,500,25,946.00,11371.04
4,6,18551,sa,600,30,1150.00,13193.54
4,6,18551,sa,700,35,1235.00,15657.67
4,6,18551,sa,800,40,1628.00,17889.82
4,6,18551,sa,900,45,1752.00,20359.21
4,6,18551,sa,1000,50,1866.00,22440.65
4,6,18551,sa,1100,55,2187.00,24695.40
4,6,18551,sa,1200,60,2318.00,27081.44
4,7,30846,sa,100,5,435.00,2468.83
4,7,30846,sa,200,10,591.00,4624.13
4,7,30846,sa,300,15,739.00,6611.56
4,7,30846,sa,400,20,934.00,8770.52
4,7,30846,sa,500,25,970.00,11185.25
4,7,30846,sa,600,30,1108.00,13359.48
4,7,30846,sa,700,35,1284.00,15465.14
4,7,30846,sa,800,40,1630.00,17796.00
4,7,30846,sa,900,45,1569.00,20306.67
4,7,30846,sa,1000,50,1893.00,22104.45
4,7,30846,sa,1100,55,2069.00,24475.83
4,7,30846,sa,1200,60,2196.00,26407.54
4,8,2975,sa,100,5,392.00,2475.02
4,8,2975,sa,200,10,656.00,4717.25
4,8,2975,sa,300,15,819.00,6960.43
4,8,2975,sa,400,20,893.00,9154.01
4,8,2975,sa,500,25,994.00,11767.17
4,8,2975,sa,600,30,1100.00,13632.23
4,8,2975,sa,700,35,1218.00,15608.62
4,8,2975,sa,800,40,1489.00,17816.75
4,8,2975,sa,900,45,1695.00,20005.58
4,8,2975,sa,1000,50,1886.00,22342.78
4,8,2975,sa,1100,55,2269.00,24706.78
4,8,2975,sa,1200,60,2439.00,26735.42
4,9,22447,sa,100,5,336.00,2436.05
4,9,22447,sa,200,10,592.00,4473.15
4,9,22447,sa,300,15,609.00,6632.49
4,9,22447,sa,400,20,766.00,8778.87
4,9,22447,sa,500,25,980.00,10733.76
4,9,22447,sa,600,30,1025.00,12827.08
4,9,22447,sa,700,35,1365.00,15346.07
4,9,22447,sa,800,40,1491.00,17388.99
4,9,22447,sa,900,45,1583.00,19530.97
4,9,22447,sa,1000,50,1782.00,21677.45
4,9,22447,sa,1100,55,1963.00,23571.10
4,9,22447,sa,1200,60,2368.00,25749.75
4,10,23251,sa,100,5,438.00,2351.81
4,10,23251,sa,200,10,569.00,4431.89
4,10,23251,sa,300,15,776.00,6685.41
4,10,23251,sa,400,20,773.00,8769.67
4,10,23251,sa,500,25,1015.00,10975.17
4,10,23251,sa,600,30,1103.00,13259.39
4,10,23251,sa,700,35,1315.00,15159.51
4,10,23251,sa,800,40,1565.00,17156.47
4,10,23251,sa,900,45,1680.00,19527.97
4,10,23251,sa,1000,50,1942.00,21638.30
4,10,23251,sa,1100,55,2192.00,23859.01
4,10,23251,sa,1200,60,2272.00,26066.72
