exp,run,semilla,escenario,grupos,centros,tiempo_ms,coste
5,1,10750,grupos_crecientes,100,5,1927.00,2722.34
5,1,10750,grupos_crecientes,150,5,8982.00,3936.54
5,1,10750,grupos_crecientes,200,5,29370.00,5219.39
5,1,10750,grupos_crecientes,250,5,72940.00,6503.92
5,1,10750,grupos_crecientes,300,5,169198.00,7854.17
5,1,10750,centros_crecientes,100,5,1925.00,2722.34
5,1,10750,centros_crecientes,100,10,1988.00,2289.21
5,1,10750,centros_crecientes,100,15,1821.00,2229.75
5,1,10750,centros_crecientes,100,20,1615.00,2112.32
5,1,10750,centros_crecientes,100,25,2121.00,2050.47
5,2,7899,grupos_crecientes,100,5,2158.00,2655.24
5,2,7899,grupos_crecientes,150,5,11236.00,3733.26
5,2,7899,grupos_crecientes,200,5,33150.00,5228.00
5,2,7899,grupos_crecientes,250,5,85841.00,6364.41
5,2,7899,grupos_crecientes,300,5,199189.00,7553.39
5,2,7899,centros_crecientes,100,5,2085.00,2655.24
5,2,7899,centros_crecientes,100,10,1888.00,2221.88
5,2,7899,centros_crecientes,100,15,1800.00,1998.38
5,2,7899,centros_crecientes,100,20,2002.00,1926.31
5,2,7899,centros_crecientes,100,25,2074.00,1879.95
5,3,6692,grupos_crecientes,100,5,2152.00,2454.27
5,3,6692,grupos_crecientes,150,5,9740.00,3553.11
5,3,6692,grupos_crecientes,200,5,28796.00,4658.06
5,3,6692,grupos_crecientes,250,5,85224.00,5937.88
5,3,6692,grupos_crecientes,300,5,177063.00,7124.26
5,3,6692,centros_crecientes,100,5,2057.00,2454.27
5,3,6692,centros_crecientes,100,10,1928.00,2188.82
5,3,6692,centros_crecientes,100,15,1821.00,2030.76
5,3,6692,centros_crecientes,100,20,1949.00,1997.74
5,3,6692,centros_crecientes,100,25,2318.00,1957.22
5,4,4281,grupos_crecientes,100,5,2149.00,2550.13
5,4,4281,grupos_crecientes,150,5,9225.00,3679.49
5,4,4281,grupos_crecientes,200,5,30309.00,4813.00
5,4,4281,grupos_crecientes,250,5,91266.00,5909.73
5,4,4281,grupos_crecientes,300,5,172395.00,6811.90
5,4,4281,centros_crecientes,100,5,2109.00,2550.13
5,4,4281,centros_crecientes,100,10,2035.00,2361.28
5,4,4281,centros_crecientes,100,15,1987.00,2237.88
5,4,4281,centros_crecientes,100,20,1891.00,2139.82
5,4,4281,centros_crecientes,100,25,2289.00,2004.03
5,5,26531,grupos_crecientes,100,5,1804.00,2422.17
5,5,26531,grupos_crecientes,150,5,9375.00,3641.87
5,5,26531,grupos_crecientes,200,5,28964.00,4920.28
5,5,26531,grupos_crecientes,250,5,77341.00,6088.31
5,5,26531,grupos_crecientes,300,5,169231.00,7101.34
5,5,26531,centros_crecientes,100,5,1768.00,2422.17
5,5,26531,centros_crecientes,100,10,1727.00,2328.58
5,5,26531,centros_crecientes,100,15,1802.00,2216.01
5,5,26531,centros_crecientes,100,20,2054.00,2086.23
5,5,26531,centros_crecientes,100,25,2146.00,2021.66
5,6,14001,grupos_crecientes,100,5,2231.00,2754.29
5,6,14001,grupos_crecientes,150,5,10234.00,3960.59
5,6,14001,grupos_crecientes,200,5,33777.00,5318.85
5,6,14001,grupos_crecientes,250,5,83789.00,6870.04
5,6,14001,grupos_crecientes,300,5,198606.00,8006.85
5,6,14001,centros_crecientes,100,5,2169.00,2754.29
5,6,14001,centros_crecientes,100,10,1787.00,2264.71
5,6,14001,centros_crecientes,100,15,1882.00,2126.59
5,6,14001,centros_crecientes,100,20,2127.00,2079.12
5,6,14001,centros_crecientes,100,25,2159.00,2014.40
5,7,7936,grupos_crecientes,100,5,2119.00,2724.63
5,7,7936,grupos_crecientes,150,5,10033.00,3991.04
5,7,7936,grupos_crecientes,200,5,32680.00,5215.26
5,7,7936,grupos_crecientes,250,5,78447.00,6378.75
5,7,7936,grupos_crecientes,300,5,203383.00,7467.44
5,7,7936,centros_crecientes,100,5,2069.00,2724.63
5,7,7936,centros_crecientes,100,10,1623.00,2377.12
5,7,7936,centros_crecientes,100,15,1499.00,2219.65
5,7,7936,centros_crecientes,100,20,1642.00,2162.06
5,7,7936,centros_crecientes,100,25,1972.00,2048.90
5,8,19894,grupos_crecientes,100,5,2301.00,2391.09
5,8,19894,grupos_crecientes,150,5,8934.00,3580.04
5,8,19894,grupos_crecientes,200,5,29358.00,4837.45
5,8,19894,grupos_crecientes,250,5,78808.00,5961.97
5,8,19894,grupos_crecientes,300,5,168227.00,7274.36
5,8,19894,centros_crecientes,100,5,2338.00,2391.09
5,8,19894,centros_crecientes,100,10,1624.00,2180.06
5,8,19894,centros_crecientes,100,15,2296.00,2065.16
5,8,19894,centros_crecientes,100,20,2271.00,1982.66
5,8,19894,centros_crecientes,100,25,2037.00,1898.82
5,9,17282,grupos_crecientes,100,5,2501.00,2598.74
5,9,17282,grupos_crecientes,150,5,11125.00,3842.40
5,9,17282,grupos_crecientes,200,5,35888.00,4940.76
5,9,17282,grupos_crecientes,250,5,93862.00,6090.56
5,9,17282,grupos_crecientes,300,5,195206.00,7274.82
5,9,17282,centros_crecientes,100,5,2244.00,2598.74
5,9,17282,centros_crecientes,100,10,1835.00,2314.78
5,9,17282,centros_crecientes,100,15,2106.00,2071.21
5,9,17282,centros_crecientes,100,20,2498.00,1998.87
5,9,17282,centros_crecientes,100,25,2530.00,1941.12
5,10,10765,grupos_crecientes,100,5,2269.00,2355.70
5,10,10765,grupos_crecientes,150,5,10430.00,3767.11
5,10,10765,grupos_crecientes,200,5,30998.00,4911.00
5,10,10765,grupos_crecientes,250,5,80699.00,6063.14
5,10,10765,grupos_crecientes,300,5,171541.00,7371.47
5,10,10765,centros_crecientes,100,5,2243.00,2355.70
5,10,10765,centros_crecientes,100,10,1802.00,2056.37
5,10,10765,centros_crecientes,100,15,1782.00,1988.57
5,10,10765,centros_crecientes,100,20,2076.00,1940.81
5,10,10765,centros_crecientes,100,25,2382.00,1862.26
