exp,run,semilla,helicopteros,tiempo_ms,coste
6,1,16833,1,4293.00,2402.68
6,1,16833,2,5307.00,2352.68
6,1,16833,3,6171.00,2302.68
6,1,16833,4,7265.00,2231.17
6,1,16833,5,8009.00,2203.18
6,1,16833,6,8424.00,2181.68
6,1,16833,7,9367.00,2164.29
6,1,16833,8,9602.00,2161.68
6,1,16833,9,9813.00,2160.81
6,1,16833,10,10107.00,2160.81
6,2,27760,1,3535.00,2322.31
6,2,27760,2,4632.00,2269.89
6,2,27760,3,5000.00,2233.23
6,2,27760,4,5368.00,2212.31
6,2,27760,5,5951.00,2182.31
6,2,27760,6,6392.00,2162.31
6,2,27760,7,6608.00,2152.31
6,2,27760,8,6724.00,2152.31
6,2,27760,9,7287.00,2152.31
6,2,27760,10,7443.00,2152.31
6,3,13557,1,5378.00,2551.42
6,3,13557,2,6232.00,2501.87
6,3,13557,3,8121.00,2453.04
6,3,13557,4,8802.00,2419.69
6,3,13557,5,8541.00,2408.52
6,3,13557,6,9239.00,2388.52
6,3,13557,7,9841.00,2378.52
6,3,13557,8,10472.00,2368.52
6,3,13557,9,10869.00,2368.52
6,3,13557,10,11281.00,2358.52
6,4,18321,1,4338.00,2557.25
6,4,18321,2,5086.00,2507.35
6,4,18321,3,5628.00,2477.25
6,4,18321,4,6528.00,2445.58
6,4,18321,5,7261.00,2415.58
6,4,18321,6,8337.00,2395.58
6,4,18321,7,8019.00,2388.67
6,4,18321,8,8115.00,2388.67
6,4,18321,9,8724.00,2378.67
6,4,18321,10,9375.00,2368.67
6,5,23788,1,5025.00,2744.24
6,5,23788,2,5825.00,2694.24
6,5,23788,3,6680.00,2644.24
6,5,23788,4,7563.00,2594.24
6,5,23788,5,8446.00,2574.24
6,5,23788,6,8555.00,2564.24
6,5,23788,7,9007.00,2564.24
6,5,23788,8,9262.00,2564.24
6,5,23788,9,9703.00,2564.24
6,5,23788,10,10041.00,2564.24
6,6,8109,1,4478.00,2636.37
6,6,8109,2,5155.00,2589.90
6,6,8109,3,6013.00,2548.01
6,6,8109,4,6711.00,2527.57
6,6,8109,5,7270.00,2504.85
6,6,8109,6,8146.00,2481.05
6,6,8109,7,8377.00,2474.50
6,6,8109,8,8272.00,2483.65
6,6,8109,9,8646.00,2483.65
6,6,8109,10,8962.00,2483.65
6,7,9875,1,5589.00,2801.87
6,7,9875,2,6521.00,2752.72
6,7,9875,3,7613.00,2706.76
6,7,9875,4,8551.00,2661.09
6,7,9875,5,8466.00,2649.52
6,7,9875,6,9516.00,2641.87
6,7,9875,7,10425.00,2631.87
6,7,9875,8,10785.00,2621.87
6,7,9875,9,14039.00,2572.28
6,7,9875,10,12194.00,2601.87
6,8,21758,1,4466.00,2534.36
6,8,21758,2,5351.00,2484.36
6,8,21758,3,6256.00,2434.36
6,8,21758,4,7407.00,2376.94
6,8,21758,5,8312.00,2352.67
6,8,21758,6,9404.00,2318.53
6,8,21758,7,11304.00,2288.23
6,8,21758,8,11556.00,2281.43
6,8,21758,9,12202.00,2271.43
6,8,21758,10,10980.00,2276.49
6,9,22803,1,3890.00,2505.12
6,9,22803,2,4758.00,2455.12
6,9,22803,3,6688.00,2385.99
6,9,22803,4,7349.00,2347.67
6,9,22803,5,7559.00,2347.74
6,9,22803,6,8047.00,2354.85
6,9,22803,7,8801.00,2337.99
6,9,22803,8,9112.00,2327.99
6,9,22803,9,9225.00,2334.85
6,9,22803,10,9719.00,2324.85
6,10,10748,1,4761.00,3007.85
6,10,10748,2,5709.00,2957.85
6,10,10748,3,6475.00,2907.85
6,10,10748,4,8440.00,2851.31
6,10,10748,5,9464.00,2822.61
6,10,10748,6,9583.00,2810.24
6,10,10748,7,10216.00,2799.53
6,10,10748,8,10695.00,2789.53
6,10,10748,9,11528.00,2769.53
6,10,10748,10,10469.00,2789.68
