exp,run,semilla,algoritmo,peso_h2,tiempo_ms,coste
7,1,26746,hc,0,4015.00,2310.18
7,1,26746,hc,0.5,6226.00,2578.85
7,1,26746,hc,1,6804.00,2841.39
7,1,26746,hc,2,7457.00,3144.73
7,1,26746,hc,4,8115.00,3948.91
7,1,26746,hc,8,9802.00,5521.50
7,1,26746,hc,16,8695.00,8923.37
7,1,26746,hc,32,11187.00,14136.43
7,1,26746,sa,0,480.00,2328.45
7,1,26746,sa,0.5,388.00,2692.50
7,1,26746,sa,1,347.00,2892.42
7,1,26746,sa,2,458.00,3333.04
7,1,26746,sa,4,501.00,4177.01
7,1,26746,sa,8,509.00,5581.41
7,1,26746,sa,16,391.00,8883.79
7,1,26746,sa,32,379.00,14139.35
7,2,11683,hc,0,4658.00,2405.48
7,2,11683,hc,0.5,6685.00,2751.40
7,2,11683,hc,1,7166.00,2898.09
7,2,11683,hc,2,8251.00,3272.52
7,2,11683,hc,4,6947.00,4391.34
7,2,11683,hc,8,8346.00,5659.36
7,2,11683,hc,16,14112.00,7810.19
7,2,11683,hc,32,9541.00,12864.84
7,2,11683,sa,0,382.00,2470.78
7,2,11683,sa,0.5,546.00,2742.48
7,2,11683,sa,1,447.00,2960.15
7,2,11683,sa,2,398.00,3461.85
7,2,11683,sa,4,438.00,4153.22
7,2,11683,sa,8,343.00,5237.64
7,2,11683,sa,16,345.00,8063.47
7,2,11683,sa,32,408.00,12492.11
7,3,23785,hc,0,4591.00,2685.82
7,3,23785,hc,0.5,5689.00,2984.29
7,3,23785,hc,1,5900.00,3278.06
7,3,23785,hc,2,6350.00,3751.92
7,3,23785,hc,4,7777.00,4768.38
7,3,23785,hc,8,8663.00,6197.27
7,3,23785,hc,16,8883.00,9524.33
7,3,23785,hc,32,10031.00,16221.86
7,3,23785,sa,0,460.00,2697.56
7,3,23785,sa,0.5,469.00,3028.92
7,3,23785,sa,1,555.00,3278.58
7,3,23785,sa,2,368.00,3716.84
7,3,23785,sa,4,599.00,4783.67
7,3,23785,sa,8,454.00,6334.14
7,3,23785,sa,16,420.00,9839.67
7,3,23785,sa,32,499.00,16590.13
7,4,24800,hc,0,4681.00,2196.81
7,4,24800,hc,0.5,4876.00,2496.40
7,4,24800,hc,1,5139.00,2704.54
7,4,24800,hc,2,7913.00,2976.81
7,4,24800,hc,4,6232.00,3790.72
7,4,24800,hc,8,6668.00,5369.74
7,4,24800,hc,16,6737.00,8248.67
7,4,24800,hc,32,8020.00,12865.94
7,4,24800,sa,0,393.00,2233.00
7,4,24800,sa,0.5,525.00,2466.49
7,4,24800,sa,1,507.00,2758.60
7,4,24800,sa,2,441.00,3039.64
7,4,24800,sa,4,337.00,3753.32
7,4,24800,sa,8,337.00,5008.57
7,4,24800,sa,16,379.00,6875.13
7,4,24800,sa,32,432.00,11985.16
7,5,10891,hc,0,6051.00,2707.16
7,5,10891,hc,0.5,6226.00,3016.34
7,5,10891,hc,1,5856.00,3338.27
